12858,6679,3 
3922,14652,5 
3922,14641,4 
3922,460,3 
3922,2827,5 
285,14652,12 
285,2017,11 
285,14641,13 
285,460,5 
285,2827,12 
285,11336,4 
285,9940,3 
285,16138,3 
285,2030,10 
285,7435,3 
285,22622,3 
10652,14652,4 
20858,14652,4 
20858,14641,4 
20858,16128,4 
4980,14652,4 
18684,14652,4 
18684,2017,8 
18684,14641,7 
18684,460,8 
18684,2827,4 
18684,18697,8 
18684,2030,8 
18684,18584,7 
18684,19031,8 
7435,14652,7 
7435,2017,4 
7435,14641,8 
7435,460,3 
7435,2827,7 
7435,11336,3 
7435,9940,3 
7435,11706,3 
11741,14652,9 
11741,14641,8 
11741,2827,7 
11741,22619,4 
11741,22622,3 
15328,14652,19 
15328,14641,5 
15328,460,5 
15328,2827,6 
15328,16138,19 
889,14652,52 
889,2017,22 
889,14641,35 
889,16128,6 
889,460,21 
889,2827,25 
889,22619,7 
889,18697,7 
889,2588,4 
889,2912,3 
889,4598,3 
889,11336,8 
889,11706,14 
889,9164,3 
889,1335,9 
889,16138,10 
889,18208,5 
889,20742,3 
889,22197,7 
889,22956,3 
889,2800,3 
889,10008,3 
889,2030,14 
889,22622,4 
889,13901,3 
889,21324,3 
889,18584,4 
889,19031,4 
889,16237,3 
889,9940,4 
18208,14652,13 
18208,2017,10 
18208,14641,11 
18208,16128,3 
18208,460,7 
18208,2827,11 
18208,18697,6 
18208,9940,4 
18208,16138,6 
18208,2030,7 
18208,22197,4 
18208,18584,4 
18208,19031,4 
18208,18802,8 
10547,14652,5 
14643,14652,5 
14643,2017,5 
14643,14641,5 
14643,2827,3 
14643,9940,3 
14643,16138,3 
14643,6679,4 
11336,14652,25 
11336,2017,12 
11336,14641,18 
11336,460,8 
11336,2827,14 
11336,2030,6 
11336,9940,4 
11336,16138,5 
11336,10115,3 
11336,10066,3 
3905,2827,3 
2827,14652,211 
2827,2017,61 
2827,10064,3 
2827,14641,144 
2827,16128,18 
2827,460,90 
