14652 3851 2.0
14652 21949 4.0
14652 14656 3.0
10652 10662 6.0
10662 11769 2.0
1633 14641 9.0
1633 16128 8.0
1969 2017 3.0
2017 10064 5.0
2017 14641 91.0
2017 16128 11.0
2017 1164 7.0
2017 2030 62.0
2017 2503 23.0
2017 2827 61.0
2017 6706 8.0
2017 11781 58.0
2017 6673 4.0
2017 6679 9.0
2017 11734 4.0
2017 14643 5.0
2017 1615 22.0
2017 9941 24.0
2017 14037 38.0
2017 460 45.0
2017 18584 11.0
2017 18684 8.0
2017 18697 24.0
2017 19031 12.0
2017 285 11.0
2017 4598 4.0
2017 16138 25.0
2017 12084 9.0
2017 889 22.0
2017 9164 4.0
2017 1616 4.0
2017 2833 4.0
2017 7435 4.0
2017 9940 15.0
2017 22197 19.0
2017 5595 8.0
2017 18208 10.0
2017 1949 17.0
2017 11336 12.0
2017 11706 9.0
2017 18802 5.0
2017 20742 3.0
2017 4023 4.0
2017 10076 4.0
2017 9586 4.0
2017 10115 6.0
2017 22619 8.0
2017 22622 5.0
2017 10066 3.0
2017 8856 6.0
2017 2099 2.0
2017 21949 4.0
3685 18870 3.0
10064 14641 4.0
10064 2827 3.0
10064 11781 3.0
14641 16128 41.0
14641 18870 3.0
14641 2503 25.0
14641 11781 105.0
14641 18697 38.0
14641 2827 144.0
14641 9940 23.0
14641 22619 35.0
14641 460 83.0
14641 6025 5.0
14641 16138 53.0
14641 1164 7.0
14641 2030 56.0
14641 6706 8.0
14641 6673 4.0
14641 6679 10.0
14641 11734 4.0
14641 14643 5.0
14641 14037 46.0
14641 1615 36.0
14641 3922 4.0
14641 14608 3.0
14641 889 35.0
14641 22199 11.0
14641 21178 5.0
14641 18584 10.0
14641 18684 7.0
14641 19031 10.0
14641 3276 2.0
14641 3592 3.0
14641 9944 2.0
14641 14544 2.0
14641 285 13.0
14641 4598 11.0
14641 9941 21.0
14641 16237 10.0
14641 2833 12.0
14641 11336 18.0
14641 11706 14.0
14641 18132 5.0
14641 22197 30.0
14641 22622 16.0
14641 12084 10.0
14641 5595 25.0
14641 8856 9.0
14641 2588 4.0
14641 1616 4.0
14641 7435 8.0
14641 11103 3.0
14641 13923 20.0
14641 21403 4.0
14641 13344 2.0
14641 18208 11.0
14641 9586 4.0
14641 16243 7.0
14641 8992 5.0
14641 12395 4.0
14641 12857 6.0
14641 18802 7.0
14641 20742 5.0
14641 22956 3.0
14641 1335 9.0
14641 3283 4.0
14641 4023 5.0
14641 7384 4.0
14641 11741 8.0
14641 20858 4.0
14641 20992 4.0
14641 10076 3.0
14641 1949 13.0
14641 10115 10.0
14641 1591 6.0
14641 2912 4.0
14641 10675 6.0
14641 16900 7.0
14641 15436 3.0
14641 4512 2.0
14641 2099 2.0
14641 3851 2.0
14641 14656 4.0
16128 22619 6.0
16128 460 16.0
16128 2827 18.0
16128 11781 17.0
16128 889 6.0
16128 3276 2.0
16128 3592 3.0
16128 9944 2.0
16128 14544 2.0
16128 2833 8.0
16128 13923 17.0
16128 22197 7.0
16128 2588 3.0
16128 16138 10.0
16128 14850 3.0
16128 20858 4.0
16128 20992 4.0
16128 18700 4.0
16128 15013 3.0
16128 1591 4.0
16128 10675 4.0
16128 2099 2.0
460 2827 90.0
460 6025 5.0
460 16138 39.0
460 2833 8.0
460 14660 4.0
460 15436 4.0
460 18697 23.0
460 11781 44.0
460 1335 9.0
460 2030 30.0
460 18584 8.0
460 18684 8.0
460 19031 9.0
460 285 5.0
460 1615 15.0
460 4598 7.0
460 9941 16.0
460 14037 23.0
460 16237 8.0
460 2588 4.0
460 3922 3.0
460 22619 17.0
460 2503 16.0
460 9940 8.0
460 18208 7.0
460 889 21.0
460 9586 5.0
460 11336 8.0
460 12395 3.0
460 18802 5.0
460 20742 3.0
