h1,h2,hour,weight
220,6399,394752,1
220,6824,394751,1
220,6973,394751,1
220,7193,394750,1
220,8560,394750,1
220,9584,394703,1
220,9618,394751,1
220,10635,394751,2
220,10635,394752,1
220,10984,394751,1
220,10997,394751,1
220,11862,394752,1
220,11897,394703,1
220,12009,394751,1
220,12062,394752,1
220,12214,394751,1
220,12473,394751,1
220,13034,394751,2
220,13549,394751,1
220,13602,394751,1
220,13806,394751,1
220,14000,394751,1
220,14668,394751,1
220,15675,394751,1
220,16573,394751,1
220,16705,394703,1
220,16705,394751,1
220,16717,394751,1
220,16791,394751,1
221,1673,394676,1
221,6149,394676,1
224,2271,394692,1
226,282,394720,1
226,651,394716,1
226,4117,394716,1
226,5868,394722,1
226,6108,394716,1
228,244,394675,1
228,577,394726,1
228,842,394677,1
228,869,394676,1
228,869,394677,1
228,1212,394739,1
228,1331,394702,1
228,1396,394721,1
228,1483,394689,1
228,1525,394742,1
228,1695,394676,1
228,1744,394678,1
228,1744,394679,1
228,1783,394753,1
228,1794,394753,1
228,1811,394676,1
228,1811,394677,2
228,1811,394678,1
228,1811,394679,1
228,1811,394681,1
228,1811,394701,1
228,1811,394702,1
228,1811,394719,1
228,1811,394721,1
228,1811,394726,2
228,1811,394753,2
228,1811,394766,1
228,1811,394791,1
228,1832,394687,1
228,1928,394753,1
228,2141,394676,1
228,2141,394677,1
228,2298,394675,1
228,2303,394675,1
228,2303,394677,2
228,2303,394679,1
228,2306,394676,1
228,2314,394687,1
228,2456,394727,1
228,2882,394679,1
228,3271,394687,1
228,3319,394726,1
228,3420,394675,1
228,3420,394676,1
228,3420,394677,1
228,3420,394679,1
228,3840,394676,1
228,4098,394751,1
228,4130,394676,1
228,4447,394674,1
228,4447,394677,2
228,4447,394678,1
228,4447,394679,2
228,4447,394682,1
228,4447,394689,1
228,4447,394691,1
228,4447,394702,1
228,4447,394705,1
228,4447,394716,1
228,4447,394719,1
228,4447,394720,1
228,4447,394721,2
228,4447,394723,1
228,4447,394724,1
228,4447,394725,2
228,4447,394726,2
228,4447,394749,1
228,4447,394753,1
228,4639,394749,1
228,4791,394687,1
228,4798,394676,1
228,4821,394721,1
