Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
394774 	 0.4958 	 0.5612 	 0.5627 
394775 	 0.2044 	 0.2888 	 0.2609 
394776 	 0.0500 	 0.0500 	 0.0500 
394778 	 0.0000 	 0.0000 	 0.0000 
394779 	 0.0000 	 0.0000 	 0.0000 
394780 	 0.1430 	 0.2056 	 0.1929 
394781 	 0.3871 	 0.3761 	 0.3954 
394782 	 0.4327 	 0.4797 	 0.4636 
394783 	 0.4061 	 0.5227 	 0.4371 
394784 	 0.6550 	 0.7245 	 0.4801 
394785 	 0.3519 	 0.4836 	 0.3372 
394786 	 0.3458 	 0.4026 	 0.3799 
394787 	 0.2677 	 0.5307 	 0.5861 
394788 	 0.4821 	 0.5309 	 0.4150 
394789 	 0.3724 	 0.3766 	 0.3137 
394790 	 0.4175 	 0.4275 	 0.5796 
394791 	 0.4011 	 0.4217 	 0.3616 
394792 	 0.5148 	 0.4685 	 0.4017 
394793 	 0.6962 	 0.4509 	 0.6309 
394794 	 0.4731 	 0.3687 	 0.5447 
394795 	 0.4270 	 0.3580 	 0.3897 
394796 	 0.5645 	 0.4389 	 0.4468 
394797 	 0.4925 	 0.3839 	 0.3601 
394798 	 0.3650 	 0.4353 	 0.5591 
394799 	 0.0681 	 0.1149 	 0.0973 
394800 	 0.0500 	 0.0500 	 0.0500 
394801 	 0.0000 	 0.0000 	 0.0000 
394802 	 0.0000 	 0.0000 	 0.0000 
394803 	 0.0000 	 0.0000 	 0.0000 
394804 	 0.0000 	 0.0000 	 0.0000 
394805 	 0.0500 	 0.0500 	 0.0500 
394806 	 0.3909 	 0.5022 	 0.6360 
394807 	 0.2853 	 0.3265 	 0.2864 
394808 	 0.1175 	 0.1691 	 0.1499 
394809 	 0.1267 	 0.1250 	 0.1255 
394810 	 0.0500 	 0.0500 	 0.0000 
394811 	 0.1667 	 0.1914 	 0.2005 
394812 	 0.3061 	 0.3393 	 0.3051 
394813 	 0.3636 	 0.4288 	 0.4830 
