manifestacion,hour,hour_rel,ami,pairwise,n_nodes_common,n_nodes_ref
nat,429647,23.0,0.0,0.16224188790560473,71,592
nat,429648,24.0,0.0,0.20577617328519857,67,592
nat,429649,25.0,0.0,0.0945945945945946,56,592
nat,429650,26.0,0.0,0.2694300518134715,58,592
nat,429651,27.0,0.0,0.2636363636363636,43,592
nat,429652,28.0,0.0,0.25396825396825395,49,592
nat,429653,29.0,0.0,0.16666666666666666,35,592
nat,429654,30.0,0.0,0.058823529411764705,21,592
nat,429655,31.0,0.0,0.25,12,592
nat,429656,32.0,0.0,0.125,13,592
nat,429657,33.0,0.0,0.0,6,592
nat,429658,34.0,0.0,0.10638297872340426,26,592
nat,429659,35.0,0.0,0.27205882352941174,42,592
nat,429660,36.0,0.0,0.1440677966101695,61,592
nat,429661,37.0,0.0,0.13513513513513514,53,592
nat,429662,38.0,0.0,0.2222222222222222,55,592
nat,429663,39.0,0.0,0.14761904761904762,66,592
nat,429664,40.0,0.0,0.11728395061728394,57,592
nat,429665,41.0,0.0,0.1506849315068493,58,592
nat,429666,42.0,0.0,0.19101123595505617,42,592
nat,429667,43.0,0.0,0.09417040358744394,62,592
nat,429668,44.0,0.0,0.07407407407407407,59,592
nat,429669,45.0,0.0,0.11255411255411256,55,592
nat,429670,46.0,0.0,0.125,51,592
nat,429671,47.0,0.0,0.14213197969543148,55,592
9n,436983,-27.0,0.0,0.1546134663341646,119,1276
9n,436984,-26.5,0.0,0.24497377622377622,169,1276
9n,436985,-26.0,0.0,0.15517633674630263,170,1276
9n,436987,-25.0,0.0,0.138254113345521,180,1276
9n,436989,-24.0,0.0,0.30216165413533835,181,1276
9n,436990,-23.5,0.0,0.18222442899702085,178,1276
9n,436991,-23.0,0.0,0.2347885093870165,182,1276
9n,436993,-22.0,0.0,0.2204724409448819,199,1276
9n,436995,-21.0,0.0,0.17353689567430025,162,1276
9n,436997,-20.0,0.0,0.26348039215686275,104,1276
9n,436998,-19.5,0.0,0.22248995983935743,87,1276
9n,436999,-19.0,0.0,0.2676973148901546,81,1276
9n,437000,-18.5,0.0,0.4488028527763627,111,1276
9n,437001,-18.0,0.0,0.5124841303427846,134,1276
9n,437002,-17.5,0.0,0.4860368389780155,145,1276
9n,437003,-17.0,0.0,0.38584853510226647,154,1276
9n,437005,-16.0,0.0,0.46765081100783673,205,1276
9n,437006,-15.5,0.0,0.3642395372575706,211,1276
9n,437007,-15.0,0.0,0.12487326799594457,213,1276
9n,437008,-14.5,0.0,0.1743042826195634,215,1276
9n,437009,-14.0,0.0,0.1474454735584105,233,1276
9n,437011,-13.0,0.0,0.36475854584915895,240,1276
9n,437013,-12.0,0.0,0.52775486152033,265,1276
9n,437014,-11.5,0.0,0.32644948613535,292,1276
9n,437015,-11.0,0.0,0.23061383061383062,313,1276
9n,437016,-10.5,0.0,0.3057639976911025,305,1276
9n,437017,-10.0,0.0,0.2638390326846779,289,1276
9n,437018,-9.5,0.0,0.2745576571079927,294,1276
9n,437019,-9.0,0.0,0.3404386144701783,273,1276
9n,437021,-8.0,0.0,0.21284916201117318,196,1276
9n,437023,-7.0,0.0,0.22921405104877432,177,1276
9n,437024,-6.5,0.0,0.29513657561625584,190,1276
9n,437025,-6.0,0.0,0.4430968599435122,222,1276
9n,437026,-5.5,0.0,0.5504726719547973,285,1276
9n,437027,-5.0,0.0,0.683678583361176,327,1276
9n,437029,-4.0,0.0,0.5427353800015784,349,1276
9n,437031,-3.0,0.0,0.5494120307553143,372,1276
9n,437033,-2.0,0.0,0.7154449794899234,424,1276
9n,437035,-1.0,0.0,0.4110489170114383,429,1276
9n,437037,0.0,1.0,1.0,1276,1276
9n,437038,0.5,0.0,0.44985704726564874,827,1276
9n,437039,1.0,0.0,0.4371290680232179,464,1276
9n,437040,1.5,0.0,0.2197417966648736,454,1276
9n,437041,2.0,0.0,0.34289968360320117,430,1276
9n,437043,3.0,0.0,0.16596512327119664,340,1276
9n,437044,3.5,0.0,0.17641300091371884,297,1276
9n,437045,4.0,0.0,0.24068818730046115,250,1276
9n,437046,4.5,0.0,0.22152746761947298,197,1276
9n,437047,5.0,0.0,0.18407018751075177,184,1276
9n,437049,6.0,0.0,0.22628933566433568,245,1276
9n,437051,7.0,0.0,0.2323135755258126,290,1276
9n,437053,8.0,0.0,0.25346936189088143,324,1276
9n,437055,9.0,0.0,0.30701754385964913,303,1276
9n,437057,10.0,0.0,0.17333120917635814,285,1276
9n,437058,10.5,0.0,0.17082570575199924,269,1276
9n,437059,11.0,0.0,0.1684704530217412,282,1276
9n,437060,11.5,0.0,0.16821146584277377,316,1276
9n,437061,12.0,0.0,0.17024767559965623,307,1276
9n,437062,12.5,0.0,0.17261055634807418,287,1276
9n,437063,13.0,0.0,0.18183377648168797,284,1276
9n,437065,14.0,0.0,0.6641810918774966,270,1276
9n,437066,14.5,0.0,0.6888640179071068,256,1276
9n,437067,15.0,0.0,0.5606293169608596,204,1276
9n,437069,16.0,0.0,0.2516073724817831,139,1276
9n,437071,17.0,0.0,0.4755244755244755,120,1276
9n,437073,18.0,0.0,0.6494788809654416,164,1276
9n,437074,18.5,0.0,0.6659018708083304,205,1276
9n,437075,19.0,0.0,0.6735524256651018,213,1276
9n,437076,19.5,0.0,0.1474861771891475,224,1276
9n,437077,20.0,0.0,0.12833562585969738,222,1276
9n,437079,21.0,0.0,0.232409381663113,151,1276
ch,394669,-24.0,0.0,0.16323024054982818,87,826
ch,394671,-23.0,0.0,0.12560386473429952,115,826
ch,394673,-22.0,0.0,0.17697729052466718,144,826
ch,394675,-21.0,0.0,0.1724137931034483,129,826
ch,394677,-20.0,0.0,0.13160854893138357,116,826
ch,394679,-19.0,0.0,0.11513157894736842,73,826
ch,394680,-18.5,0.0,0.22764227642276422,60,826
ch,394681,-18.0,0.0,0.175,36,826
ch,394682,-17.5,0.0,0.08333333333333333,11,826
ch,394683,-17.0,0.0,0.3333333333333333,11,826
ch,394684,-16.5,0.0,0.23076923076923078,15,826
ch,394685,-16.0,0.0,0.2982456140350877,29,826
ch,394686,-15.5,0.0,0.3711340206185567,42,826
ch,394687,-15.0,0.0,0.2620967741935484,62,826
ch,394688,-14.5,0.0,0.2694063926940639,87,826
ch,394689,-14.0,0.0,0.2359208523592085,108,826
ch,394690,-13.5,0.0,0.15861214374225527,110,826
ch,394691,-13.0,0.0,0.14731585518102372,114,826
ch,394692,-12.5,0.0,0.22948539638386647,110,826
ch,394693,-12.0,0.0,0.19809825673534073,102,826
ch,394694,-11.5,0.0,0.27393225331369664,111,826
ch,394695,-11.0,0.0,0.2630890052356021,117,826
ch,394696,-10.5,0.0,0.15577190542420027,115,826
ch,394697,-10.0,0.0,0.15527950310559005,115,826
ch,394698,-9.5,0.0,0.14637305699481865,116,826
ch,394699,-9.0,0.0,0.11804008908685969,123,826
ch,394700,-8.5,0.0,0.18375,117,826
ch,394701,-8.0,0.0,0.2223667100130039,113,826
ch,394702,-7.5,0.0,0.12213740458015267,114,826
ch,394703,-7.0,0.0,0.1689497716894977,88,826
ch,394704,-6.5,0.0,0.1830065359477124,50,826
ch,394705,-6.0,0.0,0.23943661971830985,35,826
ch,394706,-5.5,0.0,0.3,21,826
ch,394707,-5.0,0.0,0.24,19,826
ch,394708,-4.5,0.0,0.38461538461538464,25,826
ch,394709,-4.0,0.0,0.5333333333333333,23,826
ch,394710,-3.5,0.0,0.25,30,826
ch,394711,-3.0,0.0,0.1891891891891892,64,826
ch,394712,-2.5,0.0,0.15178571428571427,95,826
ch,394713,-2.0,0.0,0.11201780415430267,147,826
ch,394714,-1.5,0.0,0.18853255587949466,183,826
ch,394715,-1.0,0.0,0.15192218619731357,188,826
ch,394716,-0.5,0.0,0.29678992279561156,462,826
ch,394717,0.0,1.0,1.0,826,826
ch,394718,0.5,0.0,0.3222556802627977,568,826
ch,394719,1.0,0.0,0.10418250950570342,280,826
ch,394720,1.5,0.0,0.12525667351129363,254,826
ch,394721,2.0,0.0,0.1477888730385164,226,826
ch,394722,2.5,0.0,0.20587084148727985,204,826
ch,394723,3.0,0.0,0.11423220973782772,185,826
ch,394724,3.5,0.0,0.13619854721549637,167,826
ch,394725,4.0,0.0,0.1800518134715026,161,826
ch,394726,4.5,0.0,0.21006776379477252,131,826
ch,394727,5.0,0.0,0.22916666666666666,79,826
ch,394728,5.5,0.0,0.25925925925925924,46,826
ch,394729,6.0,0.0,0.29508196721311475,32,826
ch,394730,6.5,0.0,0.4,22,826
ch,394731,7.0,0.0,0.4166666666666667,18,826
ch,394732,7.5,0.0,0.41379310344827586,20,826
ch,394733,8.0,0.0,0.3375,45,826
ch,394734,8.5,0.0,0.21266968325791855,60,826
ch,394735,9.0,0.0,0.5217391304347826,59,826
ch,394736,9.5,0.0,0.33992094861660077,66,826
ch,394737,10.0,0.0,0.1452513966480447,77,826
ch,394738,10.5,0.0,0.11029411764705882,67,826
ch,394739,11.0,0.0,0.12916666666666668,62,826
ch,394740,11.5,0.0,0.14982578397212543,68,826
ch,394741,12.0,0.0,0.14,59,826
ch,394742,12.5,0.0,0.11949685534591195,53,826
ch,394743,13.0,0.0,0.18241042345276873,76,826
ch,394744,13.5,0.0,0.13920454545454544,81,826
ch,394745,14.0,0.0,0.09462365591397849,88,826
ch,394746,14.5,0.0,0.11507936507936507,88,826
ch,394747,15.0,0.0,0.26479750778816197,68,826
ch,394748,15.5,0.0,0.20192307692307693,61,826
ch,394749,16.0,0.0,0.16731517509727625,70,826
ch,394750,16.5,0.0,0.12719298245614036,64,826
ch,394751,17.0,0.0,0.37962962962962965,42,826
ch,394752,17.5,0.0,0.22972972972972974,34,826
ch,394753,18.0,0.0,0.2222222222222222,21,826
ch,394754,18.5,0.0,0.0,8,826
ch,394755,19.0,0.0,1.0,5,826
ch,394756,19.5,0.0,0.18181818181818182,15,826
ch,394757,20.0,0.0,0.0851063829787234,27,826
ch,394758,20.5,0.0,0.16279069767441862,42,826
ch,394759,21.0,0.0,0.20869565217391303,50,826
ch,394760,21.5,0.0,0.07079646017699115,45,826
ch,394761,22.0,0.0,0.10625,55,826
ch,394762,22.5,0.0,0.15789473684210525,55,826
ch,394763,23.0,0.0,0.17889908256880735,58,826
ch,394764,23.5,0.0,0.23015873015873015,46,826
