manifestacion,hour,hour_rel,ami,pairwise
9n,437001,-18.0,0.0,0.007601913346976184
9n,437002,-17.5,0.0,0.010269802011274184
9n,437003,-17.0,0.0,0.008763229589082372
9n,437005,-16.0,0.0,0.016107770147267456
9n,437006,-15.5,0.0,0.013439881482969455
9n,437007,-15.0,0.0,0.004638987583332287
9n,437008,-14.5,0.0,0.006566144806719313
9n,437009,-14.0,0.0,0.006195779086263826
9n,437011,-13.0,0.0,0.016879888513640758
9n,437013,-12.0,0.0,0.02811013044406222
9n,437014,-11.5,0.0,0.021135955606332624
9n,437015,-11.0,0.0,0.018631278954438737
9n,437016,-10.5,0.0,0.02327654392286349
9n,437017,-10.0,0.0,0.01753273656325721
9n,437018,-9.5,0.0,0.01977376304126753
9n,437019,-9.0,0.0,0.02085347327717166
9n,437021,-8.0,0.0,0.007175051160688503
9n,437023,-7.0,0.0,0.005693588278866555
9n,437024,-6.5,0.0,0.008342644787887158
9n,437025,-6.0,0.0,0.016741786041606508
9n,437026,-5.5,0.0,0.03180123287843216
9n,437027,-5.0,0.0,0.05138039698183325
9n,437029,-4.0,0.0,0.043169577280887876
9n,437031,-3.0,0.0,0.06100362832858344
9n,437033,-2.0,0.0,0.10072692119370755
9n,437035,-1.0,0.0,0.06361502052704925
9n,437037,0.0,1.0,1.0
9n,437038,0.5,0.0,0.23211259117901847
9n,437039,1.0,0.0,0.08414834716450516
9n,437040,1.5,0.0,0.041028988964357006
9n,437041,2.0,0.0,0.057827271471795706
9n,437043,3.0,0.0,0.019058141140726417
9n,437044,3.5,0.0,0.01696777190493528
9n,437045,4.0,0.0,0.017036823140952406
9n,437046,4.5,0.0,0.009340749017589233
9n,437047,5.0,0.0,0.006716802048938494
9n,437049,6.0,0.0,0.013000464526496842
9n,437051,7.0,0.0,0.019830259507099723
9n,437053,8.0,0.0,0.02510954036986353
9n,437055,9.0,0.0,0.025705891953647787
9n,437057,10.0,0.0,0.01365958996120576
9n,437058,10.5,0.0,0.01112980376894201
9n,437059,11.0,0.0,0.011041920377647486
9n,437060,11.5,0.0,0.015379593476541413
9n,437061,12.0,0.0,0.013678422116483157
9n,437062,12.5,0.0,0.012153017539013948
9n,437063,13.0,0.0,0.013308056396027671
9n,437065,14.0,0.0,0.046967395261829734
9n,437066,14.5,0.0,0.03863730524412751
9n,437067,15.0,0.0,0.018342519240185307
9n,437069,16.0,0.0,0.003684825049277473
9n,437071,17.0,0.0,0.00554920842173984
9n,437073,18.0,0.0,0.01486484789895921
9n,437074,18.5,0.0,0.023684573953873776
9n,437075,19.0,0.0,0.027017865437973156
9n,437076,19.5,0.0,0.007200160701058367
9n,437077,20.0,0.0,0.005856800291270669
9n,437079,21.0,0.0,0.004105409850472687
ch,394669,-24.0,0.0,0.002509774912818345
ch,394671,-23.0,0.0,0.0027475430624537673
ch,394673,-22.0,0.0,0.005970622424178379
ch,394675,-21.0,0.0,0.00462326957624432
ch,394677,-20.0,0.0,0.003090985945260488
ch,394679,-19.0,0.0,0.000924653915248864
ch,394680,-18.5,0.0,0.0014794462643981823
ch,394681,-18.0,0.0,0.0005547923491493184
ch,394682,-17.5,0.0,2.6418683292824686e-05
ch,394683,-17.0,0.0,5.283736658564937e-05
ch,394684,-16.5,0.0,7.925604987847406e-05
ch,394685,-16.0,0.0,0.00044911761597801964
ch,394686,-15.5,0.0,0.0009510725985416887
ch,394687,-15.0,0.0,0.0017172144140336046
ch,394688,-14.5,0.0,0.003117404628553313
ch,394689,-14.0,0.0,0.004094895910387826
ch,394690,-13.5,0.0,0.0033815914614815598
ch,394691,-13.0,0.0,0.003117404628553313
ch,394692,-12.5,0.0,0.004359082743316073
ch,394693,-12.0,0.0,0.003302335411603086
ch,394694,-11.5,0.0,0.004913875092465392
ch,394695,-11.0,0.0,0.005310155341857762
ch,394696,-10.5,0.0,0.0029588925287963646
ch,394697,-10.0,0.0,0.003302335411603086
ch,394698,-9.5,0.0,0.0029853112120891896
ch,394699,-9.0,0.0,0.0028003804290394167
ch,394700,-8.5,0.0,0.003883546444045229
ch,394701,-8.0,0.0,0.004517594843073021
ch,394702,-7.5,0.0,0.00253619359611117
ch,394703,-7.0,0.0,0.001954982563669027
ch,394704,-6.5,0.0,0.0007397231321990912
ch,394705,-6.0,0.0,0.00044911761597801964
ch,394706,-5.5,0.0,0.00015851209975694812
ch,394707,-5.0,0.0,0.00015851209975694812
ch,394708,-4.5,0.0,0.0003962802493923703
ch,394709,-4.0,0.0,0.00042269893268519497
ch,394710,-3.5,0.0,0.00044911761597801964
ch,394711,-3.0,0.0,0.0012945154813484097
ch,394712,-2.5,0.0,0.002245588079890098
ch,394713,-2.0,0.0,0.003989221177216527
ch,394714,-1.5,0.0,0.010250449117615978
ch,394715,-1.0,0.0,0.008665328120046497
ch,394716,-0.5,0.0,0.09648103138539575
ch,394717,0.0,1.0,1.0
ch,394718,0.5,0.0,0.1555003698615661
ch,394719,1.0,0.0,0.014477438444467928
ch,394720,1.5,0.0,0.014503857127760752
ch,394721,2.0,0.0,0.013684877945683188
ch,394722,2.5,0.0,0.013896227412025784
ch,394723,3.0,0.0,0.006446158723449224
ch,394724,3.5,0.0,0.005944203740885555
ch,394725,4.0,0.0,0.007344393955405263
ch,394726,4.5,0.0,0.005732854274542957
ch,394727,5.0,0.0,0.002034238613547501
ch,394728,5.5,0.0,0.000924653915248864
ch,394729,6.0,0.0,0.00047553629927084436
ch,394730,6.5,0.0,0.00026418683292824685
ch,394731,7.0,0.0,0.00026418683292824685
ch,394732,7.5,0.0,0.00031702419951389624
ch,394733,8.0,0.0,0.001426608897812533
ch,394734,8.5,0.0,0.0012416781147627602
ch,394735,9.0,0.0,0.00253619359611117
ch,394736,9.5,0.0,0.002272006763182923
ch,394737,10.0,0.0,0.0013737715312268836
ch,394738,10.5,0.0,0.0007925604987847406
ch,394739,11.0,0.0,0.0008189791820775652
ch,394740,11.5,0.0,0.0011360033815914616
ch,394741,12.0,0.0,0.0007397231321990912
ch,394742,12.5,0.0,0.000501954982563669
ch,394743,13.0,0.0,0.0014794462643981823
ch,394744,13.5,0.0,0.0012945154813484097
ch,394745,14.0,0.0,0.001162422064884286
ch,394746,14.5,0.0,0.0015322836309838318
ch,394747,15.0,0.0,0.002245588079890098
ch,394748,15.5,0.0,0.0011095846982986368
ch,394749,16.0,0.0,0.0011360033815914616
ch,394750,16.5,0.0,0.0007661418154919159
ch,394751,17.0,0.0,0.0010831660150058121
ch,394752,17.5,0.0,0.00044911761597801964
ch,394753,18.0,0.0,0.00010567473317129874
ch,394754,18.5,0.0,0.0
ch,394755,19.0,0.0,0.0
ch,394756,19.5,0.0,5.283736658564937e-05
ch,394757,20.0,0.0,0.00010567473317129874
ch,394758,20.5,0.0,0.0003698615660995456
ch,394759,21.0,0.0,0.0006340483990277925
ch,394760,21.5,0.0,0.00021134946634259749
ch,394761,22.0,0.0,0.00044911761597801964
ch,394762,22.5,0.0,0.0007133044489062665
ch,394763,23.0,0.0,0.0010303286484201627
ch,394764,23.5,0.0,0.0007661418154919159
