manifestacion,hour,hour_rel,layer_abs,ami_paper_style,n_nodes_ref,n_edges_layer,n_comms_ref,n_comms_layer
nat,429667,43.0,43.0,0.0,592,79,34,549
nat,429668,44.0,44.0,0.0,592,57,34,553
nat,429669,45.0,45.0,0.0,592,54,34,559
nat,429670,46.0,46.0,0.0,592,42,34,568
nat,429671,47.0,47.0,0.0,592,57,34,564
9n,436983,-27.0,27.0,0.0,1276,348,35,1181
9n,436984,-26.5,26.5,0.0,1276,844,35,1129
9n,436985,-26.0,26.0,0.0,1276,969,35,1124
9n,436987,-25.0,25.0,0.0,1276,922,35,1133
9n,436989,-24.0,24.0,0.0,1276,1124,35,1112
9n,436990,-23.5,23.5,0.0,1276,1235,35,1117
9n,436991,-23.0,23.0,0.0,1276,1365,35,1116
9n,436993,-22.0,22.0,0.0,1276,1613,35,1106
9n,436995,-21.0,21.0,0.0,1276,1026,35,1140
9n,436997,-20.0,20.0,0.0,1276,499,35,1186
9n,436998,-19.5,19.5,0.0,1276,373,35,1203
9n,436999,-19.0,19.0,0.0,1276,356,35,1207
9n,437000,-18.5,18.5,0.0,1276,452,35,1181
9n,437001,-18.0,18.0,0.0,1276,772,35,1154
9n,437002,-17.5,17.5,0.0,1276,977,35,1153
9n,437003,-17.0,17.0,0.0,1276,845,35,1146
9n,437005,-16.0,16.0,0.0,1276,1194,35,1094
9n,437006,-15.5,15.5,0.0,1276,1257,35,1084
9n,437007,-15.0,15.0,0.0,1276,1241,35,1088
9n,437008,-14.5,14.5,0.0,1276,1315,35,1091
9n,437009,-14.0,14.0,0.0,1276,1427,35,1074
9n,437011,-13.0,13.0,0.0,1276,1940,35,1056
9n,437013,-12.0,12.0,0.0,1276,2659,35,1032
9n,437014,-11.5,11.5,0.0,1276,3543,35,1007
9n,437015,-11.0,11.0,0.0,1276,4512,35,976
9n,437016,-10.5,10.5,0.0,1276,4352,35,984
9n,437017,-10.0,10.0,0.0,1276,3874,35,1003
9n,437018,-9.5,9.5,0.0,1276,3308,35,1002
9n,437019,-9.0,9.0,0.0,1276,2789,35,1024
9n,437021,-8.0,8.0,0.0,1276,1466,35,1099
9n,437023,-7.0,7.0,0.0,1276,1322,35,1116
9n,437024,-6.5,6.5,0.0,1276,1417,35,1104
9n,437025,-6.0,6.0,0.0,1276,1427,35,1072
9n,437026,-5.5,5.5,0.0,1276,2590,35,1010
9n,437027,-5.0,5.0,0.0,1276,3664,35,966
9n,437029,-4.0,4.0,0.0,1276,3833,35,945
9n,437031,-3.0,3.0,0.0,1276,5362,35,918
9n,437033,-2.0,2.0,0.0,1276,5517,35,869
9n,437035,-1.0,1.0,0.0,1276,6760,35,875
9n,437037,0.0,0.0,1.0,1276,21707,35,35
9n,437038,0.5,0.5,0.0,1276,14602,35,478
9n,437039,1.0,1.0,0.0,1276,8783,35,823
9n,437040,1.5,1.5,0.0,1276,7769,35,836
9n,437041,2.0,2.0,0.0,1276,6820,35,859
9n,437043,3.0,3.0,0.0,1276,4796,35,951
9n,437044,3.5,3.5,0.0,1276,4234,35,996
9n,437045,4.0,4.0,0.0,1276,3251,35,1041
9n,437046,4.5,4.5,0.0,1276,1774,35,1089
9n,437047,5.0,5.0,0.0,1276,1347,35,1103
9n,437049,6.0,6.0,0.0,1276,1848,35,1051
9n,437051,7.0,7.0,0.0,1276,3532,35,1002
9n,437053,8.0,8.0,0.0,1276,3198,35,964
9n,437055,9.0,9.0,0.0,1276,2663,35,997
9n,437057,10.0,10.0,0.0,1276,2500,35,1011
9n,437058,10.5,10.5,0.0,1276,2548,35,1029
9n,437059,11.0,11.0,0.0,1276,3591,35,1010
9n,437060,11.5,11.5,0.0,1276,4379,35,971
9n,437061,12.0,12.0,0.0,1276,4102,35,985
9n,437062,12.5,12.5,0.0,1276,3596,35,1008
9n,437063,13.0,13.0,0.0,1276,3512,35,1010
9n,437065,14.0,14.0,0.0,1276,2883,35,1030
9n,437066,14.5,14.5,0.0,1276,2384,35,1044
9n,437067,15.0,15.0,0.0,1276,1819,35,1087
9n,437069,16.0,16.0,0.0,1276,748,35,1158
9n,437071,17.0,17.0,0.0,1276,641,35,1170
9n,437073,18.0,18.0,0.0,1276,943,35,1126
9n,437074,18.5,18.5,0.0,1276,1519,35,1094
9n,437075,19.0,19.0,0.0,1276,1450,35,1082
9n,437076,19.5,19.5,0.0,1276,1464,35,1072
9n,437077,20.0,20.0,0.0,1276,1398,35,1080
9n,437079,21.0,21.0,0.0,1276,553,35,1157
ch,394669,-24.0,24.0,0.0,826,201,40,760
ch,394671,-23.0,23.0,0.0,826,429,40,730
ch,394673,-22.0,22.0,0.0,826,486,40,705
ch,394675,-21.0,21.0,0.0,826,290,40,724
ch,394677,-20.0,20.0,0.0,826,300,40,729
ch,394679,-19.0,19.0,0.0,826,177,40,768
ch,394680,-18.5,18.5,0.0,826,118,40,779
ch,394681,-18.0,18.0,0.0,826,63,40,800
ch,394682,-17.5,17.5,0.0,826,5,40,823
ch,394683,-17.0,17.0,0.0,826,22,40,819
ch,394684,-16.5,16.5,0.0,826,23,40,819
ch,394685,-16.0,16.0,0.0,826,25,40,810
ch,394686,-15.5,15.5,0.0,826,57,40,798
ch,394687,-15.0,15.0,0.0,826,99,40,780
ch,394688,-14.5,14.5,0.0,826,144,40,757
ch,394689,-14.0,14.0,0.0,826,197,40,743
ch,394690,-13.5,13.5,0.0,826,221,40,742
ch,394691,-13.0,13.0,0.0,826,235,40,730
ch,394692,-12.5,12.5,0.0,826,209,40,739
ch,394693,-12.0,12.0,0.0,826,185,40,751
ch,394694,-11.5,11.5,0.0,826,244,40,734
ch,394695,-11.0,11.0,0.0,826,280,40,731
ch,394696,-10.5,10.5,0.0,826,239,40,733
ch,394697,-10.0,10.0,0.0,826,216,40,741
ch,394698,-9.5,9.5,0.0,826,252,40,737
ch,394699,-9.0,9.0,0.0,826,286,40,732
ch,394700,-8.5,8.5,0.0,826,207,40,733
ch,394701,-8.0,8.0,0.0,826,209,40,740
ch,394702,-7.5,7.5,0.0,826,261,40,733
ch,394703,-7.0,7.0,0.0,826,165,40,758
ch,394704,-6.5,6.5,0.0,826,68,40,793
ch,394705,-6.0,6.0,0.0,826,45,40,802
ch,394706,-5.5,5.5,0.0,826,31,40,812
ch,394707,-5.0,5.0,0.0,826,24,40,813
ch,394708,-4.5,4.5,0.0,826,40,40,810
ch,394709,-4.0,4.0,0.0,826,43,40,810
ch,394710,-3.5,3.5,0.0,826,44,40,804
ch,394711,-3.0,3.0,0.0,826,121,40,776
ch,394712,-2.5,2.5,0.0,826,184,40,749
ch,394713,-2.0,2.0,0.0,826,344,40,704
ch,394714,-1.5,1.5,0.0,826,526,40,676
ch,394715,-1.0,1.0,0.0,826,604,40,660
ch,394716,-0.5,0.5,0.0,826,1822,40,392
ch,394717,0.0,0.0,1.0,826,3663,40,40
ch,394718,0.5,0.5,0.0,826,2628,40,285
ch,394719,1.0,1.0,0.0,826,1385,40,563
ch,394720,1.5,1.5,0.0,826,1219,40,591
ch,394721,2.0,2.0,0.0,826,1082,40,616
ch,394722,2.5,2.5,0.0,826,902,40,641
ch,394723,3.0,3.0,0.0,826,719,40,664
ch,394724,3.5,3.5,0.0,826,622,40,683
ch,394725,4.0,4.0,0.0,826,473,40,685
ch,394726,4.5,4.5,0.0,826,346,40,718
ch,394727,5.0,5.0,0.0,826,190,40,765
ch,394728,5.5,5.5,0.0,826,112,40,794
ch,394729,6.0,6.0,0.0,826,72,40,805
ch,394730,6.5,6.5,0.0,826,40,40,810
ch,394731,7.0,7.0,0.0,826,22,40,814
ch,394732,7.5,7.5,0.0,826,23,40,814
ch,394733,8.0,8.0,0.0,826,72,40,790
ch,394734,8.5,8.5,0.0,826,90,40,783
ch,394735,9.0,9.0,0.0,826,109,40,782
ch,394736,9.5,9.5,0.0,826,112,40,777
ch,394737,10.0,10.0,0.0,826,121,40,773
ch,394738,10.5,10.5,0.0,826,98,40,783
ch,394739,11.0,11.0,0.0,826,111,40,775
ch,394740,11.5,11.5,0.0,826,119,40,780
ch,394741,12.0,12.0,0.0,826,78,40,789
ch,394742,12.5,12.5,0.0,826,71,40,792
ch,394743,13.0,13.0,0.0,826,95,40,780
ch,394744,13.5,13.5,0.0,826,84,40,778
ch,394745,14.0,14.0,0.0,826,107,40,769
ch,394746,14.5,14.5,0.0,826,126,40,766
ch,394747,15.0,15.0,0.0,826,87,40,782
ch,394748,15.5,15.5,0.0,826,97,40,784
ch,394749,16.0,16.0,0.0,826,123,40,781
ch,394750,16.5,16.5,0.0,826,112,40,783
ch,394751,17.0,17.0,0.0,826,71,40,796
ch,394752,17.5,17.5,0.0,826,52,40,804
ch,394753,18.0,18.0,0.0,826,15,40,815
ch,394754,18.5,18.5,0.0,826,4,40,822
ch,394755,19.0,19.0,0.0,826,1,40,825
ch,394756,19.5,19.5,0.0,826,7,40,819
ch,394757,20.0,20.0,0.0,826,17,40,812
ch,394758,20.5,20.5,0.0,826,47,40,801
ch,394759,21.0,21.0,0.0,826,51,40,795
ch,394760,21.5,21.5,0.0,826,31,40,804
ch,394761,22.0,22.0,0.0,826,62,40,796
ch,394762,22.5,22.5,0.0,826,72,40,790
ch,394763,23.0,23.0,0.0,826,69,40,794
ch,394764,23.5,23.5,0.0,826,65,40,798
