manifestacion,hour,hour_rel,q_fixed,q_reoptimized,ami_weighted,pairwise_weighted,community_entropy_norm
ch,394701,-8.0,0.007895806677282392,0.7368518181404232,0.0,0.005505958233373973,0.7294205153937575
ch,394702,-7.5,0.03223804665897071,0.7006550511423125,0.0,0.005250324458253038,0.7771640702930218
ch,394703,-7.0,0.04471158747269764,0.7550423931927963,0.0,0.0024580170684705234,0.7975601544984648
ch,394704,-6.5,0.02573841246012385,0.7205066616626009,0.0,0.0009242144177449168,0.8297754260802654
ch,394705,-6.0,0.03641546639231824,0.829207390260631,0.0,0.0005112675502418689,0.873237491399544
ch,394706,-5.5,-0.025535900104058283,0.6010197710718003,0.0,0.0001769772289298777,0.8562980271447489
ch,394707,-5.0,0.02961451247165533,0.7198639455782313,0.0,0.0003342903213119912,0.884117442245758
ch,394708,-4.5,0.11203433162892622,0.6966307523739956,0.0,0.0007472371888150391,0.8732886786967268
ch,394709,-4.0,0.08684310018903592,0.6845085066162571,0.0,0.0007669013253628033,0.8492638417821445
ch,394710,-3.5,0.047364524040908886,0.7320792262483224,0.0,0.000629252369528454,0.8455745546896446
ch,394711,-3.0,0.03607075332441379,0.6949862123981633,0.0,0.00145514610453455,0.8457234118439914
ch,394712,-2.5,0.0589417081089438,0.6936116622432941,0.0,0.006036889920163606,0.7982942040251506
ch,394713,-2.0,0.06812904341838856,0.6738243835597761,0.0,0.010245015141385141,0.7715649396876902
ch,394714,-1.5,0.09943943277108057,0.661123277812721,0.0,0.015986943013332283,0.7469254446026142
ch,394715,-1.0,0.11117608493752895,0.5947780779989912,0.0,0.0142761631336768,0.730801743959029
ch,394716,-0.5,0.3041778581267218,0.4988201140189777,0.0,0.1748928304558147,0.6765235082417835
ch,394717,0.0,0.4315922519930082,0.4315922519930082,-0.0,1.0,0.6571397873530338
ch,394718,0.5,0.1920758925119717,0.3491177713671866,0.0,0.2327643843158847,0.6454627528799198
ch,394719,1.0,0.06897628126016933,0.3783067267565969,0.0,0.059936288197585244,0.6391551287991456
ch,394720,1.5,0.09005650907558248,0.42030329413325085,0.0,0.038050104219923706,0.6526411435884854
ch,394721,2.0,0.08123535542502101,0.4290433606464032,0.0,0.02151256538325402,0.6761393118847567
ch,394722,2.5,0.07462161673553719,0.49773920454545456,0.0,0.02104062610610768,0.704727219229712
ch,394723,3.0,0.058476552218632454,0.5412075927562331,0.0,0.017815707712274354,0.6868856936880907
ch,394724,3.5,0.04647368431349637,0.5595237904676635,0.0,0.01606559955952334,0.7154483846320917
ch,394725,4.0,0.058728612495955124,0.6676742637650064,0.0,0.011660832972824163,0.7146300481418739
ch,394726,4.5,0.04552566553848543,0.7560740034307261,0.0,0.01221142879616156,0.7531198200466155
ch,394727,5.0,0.04263650747843047,0.7480305307048533,0.0,0.0028906280725213354,0.8090202582095871
ch,394728,5.5,0.036684432431718005,0.6893119593447044,0.0,0.0018091005623943053,0.8022560775319996
ch,394729,6.0,0.017633770860492188,0.6965886813482073,0.0,0.0004916034136941047,0.8395463735941181
ch,394730,6.5,0.04708350329234892,0.6909562379814695,0.0,0.0004719392771463405,0.8720984111360677
ch,394731,7.0,0.07291666666666666,0.6770833333333334,0.0,0.0004326110040508121,0.8816870719395526
