manifestacion,hour,hour_rel,q_fixed,q_reoptimized,ami_weighted,pairwise_weighted,community_entropy_norm
9n,437012,-12.5,0.10469036464627368,0.603972627330486,0.0,0.017294835771727544,0.6019274089904743
9n,437013,-12.0,0.11935151408860961,0.5507171538222183,0.0,0.014727255110938862,0.6547275639801113
9n,437014,-11.5,0.10808829478849681,0.45122795427905493,0.0,0.021606433485127412,0.6288313008209748
9n,437015,-11.0,0.09043343126919055,0.3939471814098222,0.0,0.021800213157639765,0.5866871973159442
9n,437016,-10.5,0.1073247238234924,0.43959002717020185,0.0,0.022836934405580853,0.6216517131309631
9n,437017,-10.0,0.09839686325100598,0.41465941939017237,0.0,0.018757872299195816,0.6188460961146415
9n,437018,-9.5,0.10287699191878559,0.41594149977738487,0.0,0.01531828311210154,0.634052719156124
9n,437019,-9.0,0.0901021468715565,0.48258190259349776,0.0,0.013855246584633272,0.6300769052793919
9n,437020,-8.5,0.09718277698344475,0.4897344148352345,0.0,0.015037302586958628,0.6409720880018598
9n,437021,-8.0,0.12764454136140096,0.46555637559958857,0.0,0.010793527758938087,0.6773739808052633
9n,437022,-7.5,0.10497455788983026,0.5065729872216058,0.0,0.005406452863094662,0.7379890779382149
9n,437023,-7.0,0.0674292285303043,0.5715758441645398,0.0,0.006927623292316636,0.7220578639119369
9n,437024,-6.5,0.06281580784972336,0.6734886681265467,0.0,0.007974033523883345,0.7011544374049731
9n,437025,-6.0,0.05763997942090263,0.6084362659695508,0.0,0.016548784032554983,0.5891336725066926
9n,437026,-5.5,0.05949576920708105,0.5416718333782296,0.0,0.03247747311307044,0.5965735522171932
9n,437027,-5.0,0.0838994239116835,0.6018994009024702,0.0,0.04381358395504312,0.560454301658063
9n,437028,-4.5,0.10164794584526672,0.6142553491909172,0.0,0.04872589865323128,0.5374664090758736
9n,437029,-4.0,0.11404052006936027,0.610337348933002,0.0,0.04034492781707199,0.565121919355424
9n,437030,-3.5,0.1326589110610659,0.5128109999995777,0.0,0.04711752737137874,0.5868272281778588
9n,437031,-3.0,0.1339156197456737,0.44193792654423664,0.0,0.03575234957852921,0.6222465721408378
9n,437032,-2.5,0.11239575321651925,0.5042289460288749,0.0,0.04947195039240384,0.5824775565005604
9n,437033,-2.0,0.10871772851812662,0.5787940577301662,0.0,0.06543939540742176,0.55498169313639
9n,437034,-1.5,0.12764785219425503,0.4935339683129867,0.0,0.04615831799244259,0.5762031078990068
9n,437035,-1.0,0.13776063845333472,0.3175644310795172,0.0,0.04641992055033427,0.6173326864386656
9n,437036,-0.5,0.20253345811717746,0.27045725795699804,0.0,0.24130413719600813,0.6126196060920378
9n,437037,0.0,0.27007996945777146,0.27007996945777146,-0.0,1.0,0.589448313619472
9n,437038,0.5,0.1666133238359101,0.24592191755741025,0.0,0.21224687530278075,0.575727199618399
9n,437039,1.0,0.10170888503534685,0.2448564435125665,0.0,0.06844298033136324,0.5667966256891951
9n,437040,1.5,0.11561725527218203,0.30638031080873945,0.0,0.06766786164131383,0.5572286392739519
9n,437041,2.0,0.11115486243423124,0.32388830524371287,0.0,0.04947195039240384,0.5887177479331333
9n,437042,2.5,0.0989818962724373,0.29646612934624694,0.0,0.03551012498788877,0.6203947508322593
9n,437043,3.0,0.08839798901836866,0.29977339396447056,0.0,0.025075089623098536,0.6197015095633951
9n,437044,3.5,0.0748345687148055,0.27634818244704973,0.0,0.019038852824338728,0.6297822717182184
9n,437045,4.0,0.07534302213473326,0.31528473474447094,0.0,0.010628815037302586,0.6660008149674604
9n,437046,4.5,0.09922047830416769,0.40230151556616994,0.0,0.00745082840809999,0.7108428031660332
9n,437047,5.0,0.07705487096069769,0.4785076383841692,0.0,0.011181087103962794,0.6760084394523217
9n,437048,5.5,0.07631214754081067,0.5745462959195361,0.0,0.00961147175661273,0.6544739681167002
9n,437049,6.0,0.07883092718156803,0.417932872775494,0.0,0.012440654975293092,0.6874407168174
9n,437050,6.5,0.07505625342577994,0.34029568466760146,0.0,0.018554403643057844,0.6256337957084523
9n,437051,7.0,0.07730167063833615,0.36992996133585143,0.0,0.019532990989245227,0.6173382926494211
9n,437052,7.5,0.08167858498409579,0.45440961989056144,0.0,0.03047185350256758,0.5973676240292998
9n,437053,8.0,0.07712758855750171,0.4777342004244748,0.0,0.026237767658172657,0.640614970183688
9n,437054,8.5,0.0733886267787384,0.5256275673097234,0.0,0.0219843038465265,0.6233888043010443
9n,437055,9.0,0.07017649712628866,0.5119849990325921,0.0,0.02180990214126538,0.6117651687105489
9n,437056,9.5,0.05845444831869836,0.4161720036159181,0.0,0.01785679682201337,0.6250734232876674
9n,437057,10.0,0.057259042063377105,0.38791063129743036,0.0,0.014213738978781126,0.6857695573814329
9n,437058,10.5,0.05611109011168073,0.35618064980190034,0.0,0.014165294060653038,0.6321640366080029
9n,437059,11.0,0.04092195733134872,0.3038214181469754,0.0,0.01411684914252495,0.6132545781180265
9n,437060,11.5,0.0335430858401904,0.29296630309679184,0.0,0.017750218002131578,0.6032035751033054
9n,437061,12.0,0.025035766588813606,0.2870214481179351,0.0,0.024086813293285533,0.5695646820808753
9n,437062,12.5,0.018615647197248442,0.2796596417463626,0.0,0.009969964150760586,0.6287032687679699
9n,437063,13.0,0.013242824894361602,0.30537071915631653,0.0,0.010929173529696735,0.5999794701135641
9n,437064,13.5,0.015240816541277962,0.3511116985620796,0.0,0.013051060943707005,0.5876707039040728
9n,437065,14.0,0.0215168347632396,0.477537992694819,0.0,0.0242321480476698,0.5165085954934636
9n,437066,14.5,0.021952267980547994,0.47498079297775886,0.0,0.026741594806704776,0.5001450842564313
9n,437067,15.0,0.023321061058230185,0.49328166117823885,0.0,0.012237186319155121,0.5596827726731427
9n,437068,15.5,0.01958526471997422,0.4357905522460972,0.0,0.006598197849045635,0.6327756977246416
9n,437069,16.0,0.025893666648320157,0.3974219321830894,0.0,0.0035364790233504504,0.6960085651309886
9n,437070,16.5,0.013873089975423553,0.5010237906538718,0.0,0.0024706908245325067,0.736931520635094
9n,437071,17.0,0.021040888888888894,0.6318263888888889,0.0,0.00279042728417789,0.685142391022647
9n,437072,17.5,0.022435378487385756,0.6229518562201625,0.0,0.004476310435035365,0.6596871664214085
9n,437073,18.0,0.019352921078877768,0.5283583987971002,0.0,0.011500823563608178,0.5609971879054817
9n,437074,18.5,0.01214299394361055,0.3869301629438345,0.0,0.0178180408875109,0.4584259521490141
9n,437075,19.0,0.013855053973305206,0.5134290548007429,0.0,0.01548299583373704,0.5471163773257701
9n,437076,19.5,0.013814448675134991,0.4714202823140664,0.0,0.007102024997577754,0.6619035632217548
9n,437077,20.0,0.010169924826514404,0.41009323937023195,0.0,0.005784323224493751,0.6683795012689281
9n,437078,20.5,0.010790620190827951,0.4948293128654971,0.0,0.005551787617478926,0.6672617720853626
9n,437079,21.0,0.012126837342079684,0.6433699409823453,0.0,0.002654781513419242,0.7330985610386532
9n,437080,21.5,,,0.0,0.0,
9n,437081,22.0,,,0.0,0.0,
9n,437082,22.5,,,0.0,0.0,
9n,437083,23.0,,,0.0,0.0,
9n,437084,23.5,,,0.0,0.0,
9n,437085,24.0,,,0.0,0.0,
9n,437086,24.5,,,0.0,0.0,
9n,437087,25.0,,,0.0,0.0,
9n,437088,25.5,,,0.0,0.0,
